event_id,event_family,reference_period,actual_release_at_utc,actual_initial,consensus_value,point_in_time_quality
b20d539e6e70d6d1ef51e964,us_core_cpi,2011-05,2011-06-05T13:30:00Z,224.534,,missing
99458c0987d691bd00d6c14b,us_core_cpi,2011-04,2011-05-04T13:30:00Z,224.118,,missing
0155536f64b3cebb33030d36,us_core_cpi,2011-03,2011-04-03T13:30:00Z,223.69,,missing
39f987ab65a2028361c97137,us_core_cpi,2011-02,2011-03-02T13:30:00Z,223.011,,missing
f9907ada3f4a110602dd9681,us_core_cpi,2011-01,2011-02-01T13:30:00Z,222.177,,missing
202c91dc76c0ab5cdeadcebb,us_core_cpi,2010-12,2011-01-12T13:30:00Z,221.795,,missing
637e057ca9f16645a8fa9c5d,us_core_cpi,2010-11,2010-12-11T13:30:00Z,222.077,,missing
2447a1687b077b5d1e22bdf1,us_core_cpi,2010-10,2010-11-10T13:30:00Z,222.079,,missing
acd7ad928386c0e78ea61e1c,us_core_cpi,2010-09,2010-10-09T13:30:00Z,221.907,,missing
083354daf16efd907f682fe2,us_core_cpi,2010-08,2010-09-08T13:30:00Z,221.551,,missing
f121d26ce2a653ac3b9bcce6,us_core_cpi,2010-07,2010-08-07T13:30:00Z,221.258,,missing
594de0823a2794a2d5d19b76,us_core_cpi,2010-06,2010-07-06T13:30:00Z,221.265,,missing
e96c37c7586e699cd366127a,us_core_cpi,2010-05,2010-06-05T13:30:00Z,221.193,,missing
837b88bd25426d924fe43aa1,us_core_cpi,2010-04,2010-05-04T13:30:00Z,221.166,,missing
08c19e6a6cdb4989a9d41e7d,us_core_cpi,2010-03,2010-04-03T13:30:00Z,221.059,,missing
7e57b8c117173f2219cfcd88,us_core_cpi,2010-02,2010-03-02T13:30:00Z,220.602,,missing
e40218a62552570319ca1e7e,us_core_cpi,2010-01,2010-02-01T13:30:00Z,220.086,,missing
5315b1dc86b455b9090e4707,us_nonfarm_payrolls,2019-12,2020-01-12T13:30:00Z,151794.0,,missing
